renderer,state,digest,route,lod,camera_scale,developed_width_share,developed_height_share,public_realm_width_share,public_realm_height_share,priority_width_share,priority_height_share,nodes,drawables,actions
after-4a6914a,commercial-pressured-district-v2,7a3d2cfe7391dbb8e7d760b3e44f9f9852966416a463330247131bc08fac1a5b,regular,city,0.449550450,0.650000,1.436508,1.235000,1.419328,0.520000,0.798628,1746,810,0
after-4a6914a,commercial-pressured-district-v2,7a3d2cfe7391dbb8e7d760b3e44f9f9852966416a463330247131bc08fac1a5b,regular,neighborhood,0.422359467,0.691846,1.528989,1.314508,1.510703,0.553477,0.850042,1765,824,0
after-4a6914a,commercial-pressured-district-v2,7a3d2cfe7391dbb8e7d760b3e44f9f9852966416a463330247131bc08fac1a5b,regular,block,0.367977470,0.794092,1.754952,1.508774,1.733964,0.635273,0.975667,1765,824,0
after-4a6914a,commercial-pressured-district-v2,7a3d2cfe7391dbb8e7d760b3e44f9f9852966416a463330247131bc08fac1a5b,compact,city,0.642512918,0.650000,2.383752,1.235000,2.355243,0.520000,1.325248,1716,780,0
after-4a6914a,commercial-pressured-district-v2,7a3d2cfe7391dbb8e7d760b3e44f9f9852966416a463330247131bc08fac1a5b,compact,neighborhood,0.580237865,0.719762,2.639592,1.367549,2.608024,0.575810,1.467483,1735,794,0
after-4a6914a,commercial-pressured-district-v2,7a3d2cfe7391dbb8e7d760b3e44f9f9852966416a463330247131bc08fac1a5b,compact,block,0.455687702,0.916490,3.361055,1.741332,3.320858,0.733192,1.868580,1735,794,0
after-4a6914a,commercial-recovering-district-v2,bb93af0d43a88c7cce4e22265816f125bcffd6d2d55f0b0a5df7d72dc0a6301f,regular,city,0.449550450,0.650000,1.436508,1.235000,1.419328,0.520000,0.798628,1727,793,0
after-4a6914a,commercial-recovering-district-v2,bb93af0d43a88c7cce4e22265816f125bcffd6d2d55f0b0a5df7d72dc0a6301f,regular,neighborhood,0.422359467,0.691846,1.528989,1.314508,1.510703,0.553477,0.850042,1746,807,0
after-4a6914a,commercial-recovering-district-v2,bb93af0d43a88c7cce4e22265816f125bcffd6d2d55f0b0a5df7d72dc0a6301f,regular,block,0.367977470,0.794092,1.754952,1.508774,1.733964,0.635273,0.975667,1746,807,0
after-4a6914a,commercial-recovering-district-v2,bb93af0d43a88c7cce4e22265816f125bcffd6d2d55f0b0a5df7d72dc0a6301f,compact,city,0.642512918,0.650000,2.383752,1.235000,2.355243,0.520000,1.325248,1697,763,0
after-4a6914a,commercial-recovering-district-v2,bb93af0d43a88c7cce4e22265816f125bcffd6d2d55f0b0a5df7d72dc0a6301f,compact,neighborhood,0.580237865,0.719762,2.639592,1.367549,2.608024,0.575810,1.467483,1716,777,0
after-4a6914a,commercial-recovering-district-v2,bb93af0d43a88c7cce4e22265816f125bcffd6d2d55f0b0a5df7d72dc0a6301f,compact,block,0.455687702,0.916490,3.361055,1.741332,3.320858,0.733192,1.868580,1716,777,0
